Fecha,Tipo
19/01/2025,Día de Entrega
20/01/2025,Día de Entrega
22/01/2025,Día de Entrega
23/01/2025,Día de Entrega
25/01/2025,Día de Entrega
26/01/2025,Día de Entrega
27/01/2025,Día de Entrega
29/01/2025,Día de Entrega
30/01/2025,Día de Entrega
31/01/2025,Día de Entrega
02/02/2025,Día de Entrega
03/02/2025,Día de Entrega
04/02/2025,Día de Entrega
05/02/2025,Día de Entrega
06/02/2025,Día de Entrega
08/02/2025,Día de Entrega
09/02/2025,Día de Entrega
10/02/2025,Día de Entrega
12/02/2025,Día de Entrega
13/02/2025,Día de Entrega
14/02/2025,Día de Entrega
19/02/2025,Día de Entrega
20/02/2025,Día de Entrega
24/02/2025,Día de Entrega
25/02/2025,Día de Entrega
26/02/2025,Día de Entrega
27/02/2025,Día de Entrega
01/03/2025,Día de Entrega
03/03/2025,Día de Entrega
04/03/2025,Día de Entrega
05/03/2025,Día de Entrega
07/03/2025,Día de Entrega
08/03/2025,Día de Entrega
09/03/2025,Día de Entrega
12/03/2025,Día de Entrega
13/03/2025,Día de Entrega
14/03/2025,Día de Entrega
15/03/2025,Día de Entrega
16/03/2025,Día de Entrega
18/03/2025,Día de Entrega
19/03/2025,Día de Entrega
20/03/2025,Día de Entrega
23/03/2025,Día de Entrega
25/03/2025,Día de Entrega
27/03/2025,Día de Entrega
28/03/2025,Día de Entrega
29/03/2025,Día de Entrega
31/03/2025,Día de Entrega
02/04/2025,Día de Entrega
03/04/2025,Día de Entrega
04/04/2025,Día de Entrega
06/04/2025,Día de Entrega
08/04/2025,Día de Entrega
13/04/2025,Día de Entrega
02/05/2025,Día de Entrega
04/05/2025,Día de Entrega
05/05/2025,Día de Entrega
07/05/2025,Día de Entrega
08/05/2025,Día de Entrega
11/05/2025,Día de Entrega
12/05/2025,Día de Entrega
20/05/2025,Día de Entrega
